iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
66,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02155750000019907,ok,"{'C': 0.006722118876938013, 'penalty': 'l2', 'solver': 'saga'}"
67,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01955880000059551,ok,"{'C': 0.0016717229595484301, 'penalty': 'l2', 'solver': 'sag'}"
68,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01917939999839291,ok,"{'C': 0.0352341537573929, 'penalty': 'l2', 'solver': 'saga'}"
69,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01731830000062473,ok,"{'C': 0.004868614455905342, 'penalty': 'l1', 'solver': 'sag'}"
70,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018880600000557024,ok,"{'C': 0.004039514215443862, 'penalty': 'l2', 'solver': 'liblinear'}"
71,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02173869999933231,ok,"{'C': 0.01354320411271569, 'penalty': 'l2', 'solver': 'saga'}"
72,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018239700000776793,ok,"{'C': 0.005157536193748315, 'penalty': 'l1', 'solver': 'lbfgs'}"
73,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02192760000070848,ok,"{'C': 0.021255111739699902, 'penalty': 'l1', 'solver': 'newton-cg'}"
74,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.026890900000580586,ok,"{'C': 0.00941975577385109, 'penalty': 'l2', 'solver': 'saga'}"
75,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.021999399999913294,ok,"{'C': 0.08575661509229673, 'penalty': 'l2', 'solver': 'newton-cg'}"
76,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020423800000571646,ok,"{'C': 0.09664549482725797, 'penalty': 'l2', 'solver': 'newton-cg'}"
77,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018392300000414252,ok,"{'C': 0.0018187284673187294, 'penalty': 'l2', 'solver': 'saga'}"
78,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01819930000056047,ok,"{'C': 0.025555398340962848, 'penalty': 'l2', 'solver': 'liblinear'}"
79,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017332699999315082,ok,"{'C': 0.047271984022689305, 'penalty': 'l2', 'solver': 'newton-cg'}"
80,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016091100000267033,ok,"{'C': 0.015301166372249143, 'penalty': 'l1', 'solver': 'sag'}"
81,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020336499999757507,ok,"{'C': 0.0029549379666506297, 'penalty': 'l2', 'solver': 'lbfgs'}"
82,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016440800000054878,ok,"{'C': 0.001479882596154943, 'penalty': 'l1', 'solver': 'sag'}"
83,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017953800001123454,ok,"{'C': 0.0021462382610559433, 'penalty': 'l2', 'solver': 'lbfgs'}"
84,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02072079999925336,ok,"{'C': 0.0024393666368778964, 'penalty': 'l1', 'solver': 'saga'}"
85,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01882369999839284,ok,"{'C': 0.007268378145501488, 'penalty': 'l1', 'solver': 'sag'}"
86,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0184821999991982,ok,"{'C': 0.0632628144146848, 'penalty': 'l1', 'solver': 'newton-cg'}"
87,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016240300001300056,ok,"{'C': 0.0023116379200170184, 'penalty': 'l1', 'solver': 'lbfgs'}"
88,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017447399999582558,ok,"{'C': 0.14757846542442707, 'penalty': 'l1', 'solver': 'newton-cg'}"
89,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019127199999275035,ok,"{'C': 0.0018178237944303397, 'penalty': 'l1', 'solver': 'lbfgs'}"
90,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0169437000004109,ok,"{'C': 0.03889151053810067, 'penalty': 'l1', 'solver': 'sag'}"
91,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019350200000189943,ok,"{'C': 0.06596242748300626, 'penalty': 'l2', 'solver': 'sag'}"
92,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017705000000205473,ok,"{'C': 0.0013857556077873179, 'penalty': 'l1', 'solver': 'liblinear'}"
93,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017909700000018347,ok,"{'C': 0.009802159026989722, 'penalty': 'l2', 'solver': 'sag'}"
94,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017615700000533252,ok,"{'C': 0.013549783772718807, 'penalty': 'l2', 'solver': 'saga'}"
95,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015868700000282843,ok,"{'C': 0.08522105252402329, 'penalty': 'l1', 'solver': 'newton-cg'}"
96,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02052460000049905,ok,"{'C': 0.04648617857964569, 'penalty': 'l2', 'solver': 'liblinear'}"
97,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018926499998997315,ok,"{'C': 0.002126121640840759, 'penalty': 'l1', 'solver': 'liblinear'}"
98,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017970299999433337,ok,"{'C': 0.00638215718146056, 'penalty': 'l2', 'solver': 'newton-cg'}"
99,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017800799998440198,ok,"{'C': 0.052660571443074816, 'penalty': 'l1', 'solver': 'saga'}"
100,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017422200000510202,ok,"{'C': 0.0876637841042028, 'penalty': 'l2', 'solver': 'saga'}"
101,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020355800001198077,ok,"{'C': 0.005513811596064636, 'penalty': 'l2', 'solver': 'newton-cg'}"
102,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016146099998877617,ok,"{'C': 0.03580192142987906, 'penalty': 'l1', 'solver': 'sag'}"
103,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01957640000000538,ok,"{'C': 0.008522587108976212, 'penalty': 'l2', 'solver': 'lbfgs'}"
104,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017372500000419677,ok,"{'C': 0.018122554776915885, 'penalty': 'l2', 'solver': 'newton-cg'}"
105,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017396600000211038,ok,"{'C': 0.0011622457888628, 'penalty': 'l2', 'solver': 'sag'}"
106,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01988580000033835,ok,"{'C': 0.005165985216773748, 'penalty': 'l2', 'solver': 'newton-cg'}"
107,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018005399999310612,ok,"{'C': 0.0011247149834216724, 'penalty': 'l1', 'solver': 'liblinear'}"
108,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01754640000035579,ok,"{'C': 0.1507297942478565, 'penalty': 'l1', 'solver': 'saga'}"
109,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016013000000384636,ok,"{'C': 0.028664517628343565, 'penalty': 'l1', 'solver': 'lbfgs'}"
110,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01699660000122094,ok,"{'C': 0.026594928157080987, 'penalty': 'l1', 'solver': 'sag'}"
111,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018863899998905254,ok,"{'C': 0.06479967332825001, 'penalty': 'l1', 'solver': 'newton-cg'}"
112,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018677000000025146,ok,"{'C': 0.023366741780960945, 'penalty': 'l1', 'solver': 'liblinear'}"
113,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01764039999943634,ok,"{'C': 0.004200207075972542, 'penalty': 'l1', 'solver': 'saga'}"
114,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01590089999990596,ok,"{'C': 0.07367894642797083, 'penalty': 'l1', 'solver': 'sag'}"
115,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015327099999922211,ok,"{'C': 0.0571211159912585, 'penalty': 'l1', 'solver': 'sag'}"
116,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019211299999369658,ok,"{'C': 0.0303144643540198, 'penalty': 'l1', 'solver': 'newton-cg'}"
117,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02080500000010943,ok,"{'C': 0.07316263460199877, 'penalty': 'l2', 'solver': 'sag'}"
118,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018070300000545103,ok,"{'C': 0.02425433383102596, 'penalty': 'l2', 'solver': 'lbfgs'}"
119,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01618360000065877,ok,"{'C': 0.012676456915609277, 'penalty': 'l1', 'solver': 'sag'}"
120,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.024278800001411582,ok,"{'C': 0.019842006366399663, 'penalty': 'l2', 'solver': 'liblinear'}"
121,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.022456099999544676,ok,"{'C': 0.12035599184883397, 'penalty': 'l1', 'solver': 'lbfgs'}"
122,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017419699999663862,ok,"{'C': 0.1738850382487232, 'penalty': 'l1', 'solver': 'newton-cg'}"
123,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017561299999215407,ok,"{'C': 0.004037703637468105, 'penalty': 'l1', 'solver': 'saga'}"
124,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015955099999700906,ok,"{'C': 0.0234562132235629, 'penalty': 'l1', 'solver': 'newton-cg'}"
125,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0176551999993535,ok,"{'C': 0.0036656604058076707, 'penalty': 'l2', 'solver': 'sag'}"
126,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020684799999798997,ok,"{'C': 0.04347523801831112, 'penalty': 'l2', 'solver': 'sag'}"
127,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016388899999583373,ok,"{'C': 0.005090820875502125, 'penalty': 'l1', 'solver': 'lbfgs'}"
128,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016091400000732392,ok,"{'C': 0.18455139927632205, 'penalty': 'l1', 'solver': 'sag'}"
129,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015331399999922724,ok,"{'C': 0.022880061410206407, 'penalty': 'l1', 'solver': 'sag'}"
130,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.023273599999811267,ok,"{'C': 0.06922996223486598, 'penalty': 'l2', 'solver': 'saga'}"
131,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018988699999681558,ok,"{'C': 0.008810543216576584, 'penalty': 'l1', 'solver': 'lbfgs'}"
132,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01587189999918337,ok,"{'C': 0.16904744670272887, 'penalty': 'l1', 'solver': 'sag'}"
133,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019720000000233995,ok,"{'C': 0.009434664822913719, 'penalty': 'l2', 'solver': 'sag'}"
134,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01554519999990589,ok,"{'C': 0.0018922897693590505, 'penalty': 'l1', 'solver': 'newton-cg'}"
135,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019921400000384892,ok,"{'C': 0.03401736253013698, 'penalty': 'l2', 'solver': 'sag'}"
136,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01871469999969122,ok,"{'C': 0.001966880822984655, 'penalty': 'l1', 'solver': 'sag'}"
137,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01784630000111065,ok,"{'C': 0.001034446571982649, 'penalty': 'l2', 'solver': 'saga'}"
138,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018002500000875443,ok,"{'C': 0.02928021068171859, 'penalty': 'l1', 'solver': 'saga'}"
139,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017496700000265264,ok,"{'C': 0.0019324487145233483, 'penalty': 'l2', 'solver': 'saga'}"
140,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01758739999968384,ok,"{'C': 0.054706277001335485, 'penalty': 'l2', 'solver': 'sag'}"
141,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01987849999932223,ok,"{'C': 0.028954401030307424, 'penalty': 'l2', 'solver': 'saga'}"
142,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016126899998198496,ok,"{'C': 0.09866592866380403, 'penalty': 'l1', 'solver': 'sag'}"
143,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01783390000127838,ok,"{'C': 0.013356962525537927, 'penalty': 'l1', 'solver': 'saga'}"
144,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015674000000217347,ok,"{'C': 0.02489199463321002, 'penalty': 'l1', 'solver': 'newton-cg'}"
145,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01720230000137235,ok,"{'C': 0.12913813587585138, 'penalty': 'l2', 'solver': 'sag'}"
146,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019878800001606578,ok,"{'C': 0.06588227047096204, 'penalty': 'l1', 'solver': 'saga'}"
147,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016390599999795086,ok,"{'C': 0.042194705182121504, 'penalty': 'l1', 'solver': 'lbfgs'}"
148,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017176600000311737,ok,"{'C': 0.1195499275677406, 'penalty': 'l1', 'solver': 'lbfgs'}"
149,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018321500001547975,ok,"{'C': 0.04761476713969197, 'penalty': 'l1', 'solver': 'saga'}"
150,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017963599999347934,ok,"{'C': 0.0012912499708897839, 'penalty': 'l1', 'solver': 'liblinear'}"
151,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0192905999992945,ok,"{'C': 0.05315378200587943, 'penalty': 'l2', 'solver': 'newton-cg'}"
152,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017094400000132737,ok,"{'C': 0.04332888869166561, 'penalty': 'l1', 'solver': 'sag'}"
153,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017735900000843685,ok,"{'C': 0.005790796511768158, 'penalty': 'l2', 'solver': 'saga'}"
154,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017721000000165077,ok,"{'C': 0.017365624446995402, 'penalty': 'l2', 'solver': 'saga'}"
155,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017665100000158418,ok,"{'C': 0.06253009120820659, 'penalty': 'l2', 'solver': 'sag'}"
156,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018055299999105046,ok,"{'C': 0.003224607265043335, 'penalty': 'l1', 'solver': 'lbfgs'}"
157,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01603869999962626,ok,"{'C': 0.0011275359620910393, 'penalty': 'l1', 'solver': 'newton-cg'}"
158,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01571700000022247,ok,"{'C': 0.033116410268854445, 'penalty': 'l1', 'solver': 'newton-cg'}"
159,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018272999999680906,ok,"{'C': 0.13125861772976252, 'penalty': 'l2', 'solver': 'lbfgs'}"
160,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01836890000049607,ok,"{'C': 0.010210508168406868, 'penalty': 'l2', 'solver': 'liblinear'}"
161,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019983000000138418,ok,"{'C': 0.181689444037666, 'penalty': 'l1', 'solver': 'newton-cg'}"
162,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018597099999169586,ok,"{'C': 0.049517638758851436, 'penalty': 'l1', 'solver': 'sag'}"
163,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017689899999822956,ok,"{'C': 0.13670405213846182, 'penalty': 'l2', 'solver': 'sag'}"
164,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017640000000028522,ok,"{'C': 0.011978434572591906, 'penalty': 'l2', 'solver': 'liblinear'}"
165,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.015940200000841287,ok,"{'C': 0.0035183802595497187, 'penalty': 'l1', 'solver': 'lbfgs'}"
166,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.023864500000854605,ok,"{'C': 0.05549436651721785, 'penalty': 'l1', 'solver': 'lbfgs'}"
167,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02161080000041693,ok,"{'C': 0.0020232665400472553, 'penalty': 'l1', 'solver': 'liblinear'}"
